karmn,ra_gaiadr3,dec_gaiadr3,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J06548+332,103.70012922714,33.26640801817,3448.372689447236,24.785361447236028,29.078578552764156,4.80958652160804,0.027222633608039892,0.06701143039196022,-0.0823459670854271,0.1276109841145729,0.0488676723654271,2.236024997487437,0.2235145654874371,0.2629751625125629
J06574+740,104.35739272726,74.09057160646,3218.6368326633165,26.39735266331627,44.51373133668358,4.893894819095477,0.046999179095476684,0.04388786090452257,0.0466877258291457,0.1533025410291457,0.03727549153085429,31.233872130653268,0.9266082506532669,0.6102381093467315
J06594+193,104.87435115777,19.34487368505,3085.49231959799,41.54308359799006,10.108924402010416,5.076470105527639,0.09027442552763887,0.05364752247236115,0.1688252211055276,0.1607067535055276,0.06228813969447239,2.549820276884422,0.635745192884422,0.2711143951155779
J07033+346,105.84622747575,34.69823331245,3196.9019804020104,9.621004402010385,27.196635597989825,4.959008952261306,0.030553660261306348,0.08217072773869383,-0.0500966692462311,0.3965773467537689,0.082721983086231,5.429053413567839,0.3500907055678386,0.2309769744321608
J07044+682,106.1122482527,68.28901639536,3510.76335879397,36.39557079396991,22.47296120603005,4.773592692462312,0.026598052462312616,0.06430613553768794,-0.0145407170351758,0.1213159373648242,0.039237706195175796,2.353507,0.1445777279999998,0.2573024959999999
J07274+052,,,3402.46742160804,26.419461608039455,34.49784239196015,4.881328450251257,0.06188839425125625,0.02891573374874401,0.0087963911557788,0.1607343919557788,0.026802722764221097,2.119240393969849,0.17120912196984928,0.31491775403015065
J07287-032,112.19128658652,-3.30164700652,3491.285996482412,36.18857248241193,22.767595517588234,4.793002609547739,0.025195169547738594,0.07790883045226149,-0.0732069528693467,0.13692388913065331,0.0390594782693467,2.0947920165829146,0.18963374858291449,0.28849880741708533
J07319+362N,112.98739022538,36.228664834,3290.956792964824,11.607048964824116,36.64415103517558,4.903645942211055,0.037685978211055016,0.08113870978894511,0.0301489363316582,0.3609237691316582,0.0581610170283418,5.858526662311558,0.39998071031155824,0.20371336568844267
J07353+548,113.84028667734,54.84977307864,3571.2147236180904,43.15663161809016,18.946140381909572,4.790511331658292,0.03492867165829239,0.07621582434170815,-0.1563059312763819,0.11972464112361811,0.0782738211163819,2.174494581909548,0.1950292859095477,0.22251137809045218
J07361-031,114.02980309738,-3.11206440977,3865.125032663316,42.80802466331579,49.41989933668401,4.695637226130653,0.03847626613065369,0.0156786618693463,0.1388889225879397,0.047178018187939694,0.07515424741206031,5.284353639698493,0.2781842596984925,0.2736048603015071
J07386-212,114.67284553042,-21.22669095626,3411.0862261306534,22.26774613065345,26.666701869346525,4.883440655276382,0.06415489527638218,0.025448368723617776,-0.1506570435778894,0.0671147136221106,0.0780435649378895,2.6654676492462315,0.2191489532462314,0.23196722675376868
J07393+021,114.8453404773,2.1825730064,4087.462448743719,55.096472743719005,47.294567256280516,4.666071514572864,0.03267811457286385,0.031614853427136325,0.0932526777386935,0.1255216482986935,0.0832125274613065,2.512965115075377,0.3058015430753773,0.5043569969246229
J07472+503,116.80766643936,50.34438118151,3197.7049130653268,21.13563706532659,21.866510934673443,4.916675483919598,0.05311077991959845,0.022665356080402432,-0.1043202490251256,0.09826749497487439,0.0862158593051256,13.579129934673366,0.49127887467336606,0.18472286532663418
J07558+833,118.96345515735,83.38204366283,3161.786630653266,23.660282653266222,12.976921346733889,4.891966529145728,0.017195673145728563,0.060236670854271424,-0.1249541418090452,0.0688201717909548,0.0814532662490452,15.980036924623114,0.42933388462311406,0.2140825953768868
J07582+413,119.55420831739,41.30064250417,3329.5746271356784,28.325495135678466,22.785580864321673,4.897776427135678,0.05883658713567819,0.01799706886432162,0.0097079273366834,0.1580785573366834,0.023484625543316595,2.1278874522613065,0.30002581626130653,0.2432750557386938
J08119+087,122.9946825611,8.75040152206,3316.308686934673,18.181514934673032,38.66912506532708,4.971224927135678,0.0563866471356782,0.03803992086432206,-0.2256663469798995,0.05042674022010046,0.1582513965798995,3.613743603015076,0.1732541710150759,0.2426841009849241
J08126-215,123.17043503163,-21.55502398567,3284.048170854272,19.80259485427223,39.02773714572777,4.902730689949749,0.06386981794974922,0.02127609805025088,0.055895674562814,0.106140393402814,0.043237278637185995,2.559567086934673,0.22611451093467316,0.2441544410653269
J08161+013,124.03158305458,1.30284272698,3668.221268844221,39.788660844220885,15.33899515577923,4.7222709834170855,0.019919943417085584,0.0686425765829144,-0.1399806583919598,0.07795909640804019,0.07010931399195981,2.4149315914572864,0.24562741945728606,0.21877072854271384
J08293+039,127.34088758916,3.91894899211,3625.569433165829,11.154393165829333,52.01991083417079,4.714106012060301,0.023191800060301304,0.04151117193969789,0.0424471260804019,0.0432320044956018,0.0465231467195981,3.0499436165829144,0.1477565445829141,0.36369831141708575
J08315+730,127.88482170746,73.0639299446,3442.204381909548,24.729861909547708,36.248446090452035,4.822241236180905,0.030627964180904854,0.0684204598190945,-0.0069186361306532,0.1405151878693468,0.0292113444506532,1.965560995477387,0.2967318114773869,0.35171057252261284
J08358+680,128.94437156732,68.06670261378,3449.66702160804,9.263809608039992,50.511698391959726,4.851086025125628,0.06645528512562837,0.020675094874372135,-0.143916568,0.04060808360000001,0.09210358428,3.1846555542713566,0.1883434182713568,0.2230377817286433
J08402+314,130.06766840126,31.45242630658,3380.9569512562816,27.00211925628173,31.667868743718373,4.898004321105527,0.061060977105526604,0.02614233489447315,-0.0038475581407035,0.1477530474592965,0.0403078321407035,2.4003655628140703,0.1714495988140703,0.2180511851859297
J08409-234,130.24445565917,-23.45269701927,3462.3094597989952,26.03528379899535,32.20818820100476,4.791567206532664,0.03095364653266408,0.059161137467335756,0.0518077542211055,0.0927833783011055,0.0258607828188945,2.1482438045226133,0.16607399252261335,0.28492506747738666
