Karmn,_RA,_DE,Tpr,s_Tpr,gpr,s_gpr,Teff1,e_Teff1,logg1,e_logg1,[Fe/H]1,e_[Fe/H]1,Corr1,e_Corr1,Teff2,e_Teff2,[Fe/H]2,e_[Fe/H]2,Corr2,e_Corr2,Pop,vsini,e_vsini
"J12479+097 ",191.98592,9.75139,3200,200,4.88,0.2,3408,45,4.82,0.12,-0.23,0.13,-0.15,0.13,3413,33,-0.23,0.12,-0.15,0.12,"D   ",2.0,
"J13005+056 ",195.13967,5.68556,3000,200,5.06,0.2,3158,38,4.7,0.12,-0.53,0.11,-0.36,0.11,3140,39,-0.07,0.17,-0.04,0.17,"D   ",16.4,1.6
"J13102+477 ",197.55262,47.75519,3000,200,5.11,0.2,3221,21,5.25,0.12,-0.37,0.13,-0.25,0.13,3226,35,-0.34,0.18,-0.23,0.18,"D   ",2.0,
"J13119+658 ",197.99817,65.83381,3600,200,4.8,0.2,3686,16,4.83,0.07,-0.43,0.05,-0.29,0.05,3672,35,-0.36,0.09,-0.24,0.09,"D   ",2.0,
"J13196+333 ",199.91721,33.34653,3600,200,4.66,0.2,3799,11,4.67,0.11,-0.02,0.04,0.0,0.04,3799,11,-0.03,0.03,-0.01,0.03,"YD  ",2.0,
"J13209+342 ",200.24187,34.27894,3700,200,4.71,0.2,3720,13,4.76,0.09,-0.22,0.04,-0.15,0.04,3732,11,-0.28,0.03,-0.19,0.03,"D   ",2.0,
"J13229+244 ",200.73646,24.46767,3200,200,4.95,0.2,3327,44,4.93,0.09,-0.44,0.13,-0.3,0.13,3331,37,-0.36,0.1,-0.24,0.1,"D   ",2.0,
"J13255+688 ",201.38237,68.83628,3900,200,4.65,0.2,4049,41,4.96,0.13,0.1,0.04,0.1,0.04,4016,38,0.0,0.06,0.0,0.06,"D   ",2.0,
J13283-023W,202.08783,-2.36031,3400,200,4.77,0.2,3554,28,4.86,0.13,-0.12,0.09,-0.07,0.09,3535,16,-0.13,0.04,-0.08,0.04,"D   ",2.0,
"J13293+114 ",202.33879,11.44075,3400,200,4.78,0.2,3455,24,4.83,0.07,-0.17,0.06,-0.11,0.06,3458,23,-0.17,0.05,-0.11,0.05,"TD  ",2.0,
"J13299+102 ",202.49912,10.37717,3700,200,4.75,0.2,3765,18,4.95,0.1,-0.19,0.05,-0.12,0.05,3773,16,-0.29,0.04,-0.2,0.04,"D   ",2.0,
"J13427+332 ",205.68029,33.29008,3200,200,4.94,0.2,3430,28,4.88,0.09,-0.21,0.09,-0.14,0.09,3427,33,-0.16,0.07,-0.1,0.07,"D   ",2.0,
"J13450+176 ",206.27117,17.78544,3900,200,4.77,0.2,3829,10,4.99,0.06,-0.79,0.03,-0.54,0.03,3849,14,-0.78,0.04,-0.54,0.04,"TD  ",2.3,1.5
"J13457+148 ",206.43242,14.89153,3600,200,4.74,0.2,3620,24,4.93,0.12,-0.49,0.07,-0.34,0.07,3591,17,-0.69,0.05,-0.47,0.05,"D   ",2.0,
"J13458-179 ",206.46129,-17.96822,3300,200,4.88,0.2,3443,29,4.78,0.1,-0.16,0.09,-0.1,0.09,3435,29,-0.15,0.09,-0.09,0.09,"D   ",2.0,
"J13536+776 ",208.41167,77.61894,3200,200,4.94,0.2,3198,83,4.94,0.21,-0.01,0.3,0.0,0.3,3192,80,-0.01,0.25,0.0,0.25,"D   ",8.9,1.5
"J13582+125 ",209.558,12.57886,3300,200,5.03,0.2,3442,27,5.13,0.13,-0.14,0.09,-0.08,0.09,3461,29,-0.08,0.06,-0.04,0.06,"D   ",2.0,
"J13591-198 ",209.79337,-19.83436,3100,200,4.95,0.2,3261,20,5.12,0.1,-0.22,0.07,-0.15,0.07,3292,16,-0.04,0.03,-0.02,0.03,"YD  ",3.2,1.5
"J14010-026 ",210.26329,-2.65486,3700,200,4.74,0.2,3719,15,4.89,0.09,-0.24,0.04,-0.16,0.04,3726,13,-0.32,0.03,-0.21,0.03,"D   ",2.0,
"J14082+805 ",212.05408,80.59728,3700,200,4.65,0.2,3803,12,4.8,0.09,-0.04,0.05,-0.02,0.05,3805,12,-0.11,0.03,-0.06,0.03,"D   ",2.0,
"J14152+450 ",213.82075,45.01481,3400,200,4.77,0.2,3516,16,4.85,0.06,-0.07,0.05,-0.04,0.05,3515,13,-0.13,0.04,-0.08,0.04,"D   ",2.0,
"J14173+454 ",214.34208,45.42944,3100,200,4.94,0.2,3222,24,5.19,0.07,-0.74,0.07,-0.51,0.07,3150,28,-0.1,0.07,-0.06,0.07,"D   ",15.9,1.6
"J14251+518 ",216.29825,51.83142,3400,200,4.8,0.2,3551,22,4.9,0.1,-0.21,0.06,-0.14,0.06,3550,12,-0.25,0.04,-0.17,0.04,"D   ",2.0,
J14257+236E,216.44437,23.62047,3800,200,4.65,0.2,3933,12,4.71,0.11,0.09,0.04,0.09,0.04,3873,12,-0.08,0.04,-0.04,0.04,TD-D,2.0,
J14257+236W,216.43112,23.61708,3800,200,4.62,0.2,3985,13,4.89,0.08,0.07,0.04,0.07,0.04,3954,13,-0.05,0.03,-0.02,0.03,"D   ",2.0,
"J14294+155 ",217.37375,15.53264,3500,200,4.7,0.2,3660,17,4.75,0.09,-0.24,0.06,-0.16,0.06,3687,14,-0.18,0.03,-0.11,0.03,"TD  ",2.0,
"J14307-086 ",217.69883,-8.64633,4000,200,4.64,0.2,4037,13,4.82,0.07,0.01,0.03,0.01,0.03,4029,12,-0.01,0.02,0.0,0.02,TD-D,2.4,1.5
"J14310-122 ",217.75483,-12.29608,3200,200,4.87,0.2,3450,28,4.79,0.08,-0.23,0.07,-0.15,0.07,3448,30,-0.2,0.08,-0.13,0.08,"YD  ",2.0,
"J14321+081 ",218.03546,8.192,2800,200,5.14,0.2,3161,86,5.04,0.21,-0.13,0.32,-0.08,0.32,3187,77,-0.17,0.25,-0.11,0.25,"YD  ",6.3,1.5
"J14342-125 ",218.57004,-12.51956,3100,200,4.89,0.2,3347,50,4.76,0.13,-0.26,0.15,-0.18,0.15,3330,35,-0.22,0.13,-0.15,0.13,"D   ",2.0,
"J14524+123 ",223.11887,12.39244,3500,200,4.7,0.2,3703,21,4.88,0.13,0.04,0.07,0.04,0.07,3689,15,-0.04,0.03,-0.02,0.03,"D   ",2.0,
"J14544+355 ",223.61629,35.54917,3300,200,4.86,0.2,3433,29,4.82,0.12,-0.13,0.08,-0.08,0.08,3432,29,-0.09,0.07,-0.05,0.07,"D   ",2.0,
"J15013+055 ",225.33379,5.54875,3300,200,4.85,0.2,3502,22,4.98,0.09,-0.05,0.05,-0.02,0.05,3503,18,-0.1,0.04,-0.06,0.04,"D   ",2.0,
"J15095+031 ",227.39829,3.16683,3400,200,4.78,0.2,3545,17,4.86,0.09,-0.14,0.07,-0.08,0.07,3544,16,-0.19,0.04,-0.12,0.04,"D   ",2.0,
"J15194-077 ",229.86179,-7.72228,3300,200,4.9,0.2,3500,26,4.97,0.11,-0.14,0.07,-0.08,0.07,3495,26,-0.17,0.08,-0.11,0.08,"YD  ",2.0,
"J15218+209 ",230.47054,20.97775,3500,200,4.67,0.2,3611,16,4.81,0.11,-0.24,0.09,-0.16,0.09,3697,9,-0.35,0.03,-0.23,0.03,"D   ",4.3,1.5
"J15305+094 ",232.62637,9.43372,3000,200,5.26,0.2,3073,15,5.16,0.05,-0.43,0.08,-0.29,0.08,3085,13,-0.39,0.08,-0.26,0.08,"D   ",16.3,1.6
"J15369-141 ",234.24425,-14.13383,3200,200,4.89,0.2,3428,33,4.75,0.08,-0.11,0.07,-0.06,0.07,3400,36,-0.1,0.1,-0.06,0.1,"D   ",2.0,
"J15474-108 ",236.85229,-10.89647,3500,200,4.76,0.2,3481,29,5.0,0.14,-0.7,0.11,-0.48,0.11,3459,21,-0.84,0.06,-0.57,0.06,"D   ",3.0,1.5
"J15499+796 ",237.47983,79.66433,3000,200,4.93,0.2,3095,15,5.07,0.09,-0.25,0.09,-0.17,0.09,3066,17,-0.2,0.14,-0.13,0.14,"YD  ",26.9,2.7
"J15583+354 ",239.57833,35.40675,3300,200,4.91,0.2,3478,32,4.91,0.1,-0.16,0.08,-0.1,0.08,3472,29,-0.16,0.08,-0.1,0.08,"D   ",2.0,
"J15598-082 ",239.97242,-8.25319,3600,200,4.75,0.2,3707,14,5.05,0.07,-0.04,0.04,-0.02,0.04,3731,17,-0.25,0.04,-0.17,0.04,"D   ",2.0,
"J16028+205 ",240.71225,20.58917,3200,200,4.98,0.2,3362,34,4.97,0.1,-0.16,0.12,-0.1,0.12,3346,39,-0.19,0.11,-0.12,0.11,TD-D,2.0,
"J16092+093 ",242.31779,9.35208,3300,200,4.82,0.2,3517,18,5.06,0.1,-0.03,0.04,-0.01,0.04,3525,11,-0.14,0.03,-0.08,0.03,"D   ",2.0,
"J16102-193 ",242.56142,-19.31928,3100,200,4.41,0.2,3575,55,4.48,0.19,-0.04,0.07,-0.02,0.07,3552,46,-0.02,0.06,0.0,0.06,"YD  ",7.3,1.5
J16167+672N,244.18879,67.25625,3400,200,4.74,0.2,3569,32,4.97,0.11,-0.04,0.06,-0.02,0.06,3532,32,-0.08,0.05,-0.04,0.05,"YD  ",2.0,
J16167+672S,244.17812,67.23883,4000,200,4.64,0.2,4034,17,4.78,0.09,0.0,0.04,0.0,0.04,4039,12,-0.02,0.03,-0.01,0.03,"D   ",2.7,1.5
"J16254+543 ",246.35258,54.30411,3600,200,4.94,0.2,3595,19,5.09,0.13,-0.42,0.07,-0.28,0.07,3573,20,-0.67,0.06,-0.46,0.06,"YD  ",2.0,
"J16303-126 ",247.57525,-12.66258,3300,200,4.93,0.2,3426,33,4.89,0.1,-0.22,0.11,-0.15,0.11,3426,36,-0.21,0.11,-0.14,0.11,"YD  ",2.0,
"J16313+408 ",247.82829,40.86436,2900,200,5.1,0.2,3170,42,4.86,0.13,-0.69,0.11,-0.47,0.11,3298,49,-0.73,0.12,-0.5,0.12,"YD  ",7.1,1.5
"J16327+126 ",248.18829,12.61278,3500,200,4.84,0.2,3486,21,4.92,0.09,-0.28,0.07,-0.19,0.07,3492,18,-0.26,0.06,-0.18,0.06,TD-D,2.0,
"J16462+164 ",251.55725,16.478,3400,200,4.78,0.2,3560,21,4.9,0.1,-0.15,0.07,-0.09,0.07,3547,15,-0.2,0.04,-0.13,0.04,"D   ",2.0,
J16554-083N,253.85508,-8.32258,3300,200,5.06,0.2,3397,33,5.07,0.12,-0.25,0.1,-0.17,0.1,3413,25,-0.27,0.1,-0.18,0.1,"D   ",2.0,
"J16555-083 ",253.89692,-8.39467,2600,200,5.29,0.2,3005,21,5.25,0.18,-0.08,0.09,-0.04,0.09,2989,20,0.0,0.11,0.0,0.11,"D   ",5.4,1.5
"J16570-043 ",254.27392,-4.34897,3300,200,5.02,0.2,3206,14,4.81,0.08,-0.89,0.03,-0.6,0.03,3204,8,-0.94,0.04,-0.64,0.04,"YD  ",10.1,1.5
"J16581+257 ",254.53687,25.74417,3600,200,4.71,0.2,3782,17,4.87,0.09,-0.09,0.05,-0.05,0.05,3785,14,-0.2,0.04,-0.13,0.04,"D   ",2.0,
"J17033+514 ",255.8495,51.40636,3000,200,5.04,0.2,3273,32,4.92,0.14,-0.19,0.17,-0.12,0.17,3249,33,-0.3,0.18,-0.2,0.18,"D   ",2.0,
"J17052-050 ",256.30742,-5.09422,3500,200,4.74,0.2,3587,14,4.89,0.1,-0.57,0.07,-0.39,0.07,3583,13,-0.6,0.05,-0.41,0.05,TD-D,2.0,
"J17071+215 ",256.78121,21.55403,3400,200,4.82,0.2,3534,30,4.94,0.13,-0.22,0.11,-0.15,0.11,3545,16,-0.21,0.05,-0.14,0.05,"D   ",2.0,
"J17115+384 ",257.89479,38.44275,3300,200,4.81,0.2,3472,35,4.74,0.08,-0.13,0.08,-0.08,0.08,3475,32,-0.12,0.07,-0.07,0.07,"D   ",2.0,
"J17166+080 ",259.17075,8.05839,3500,200,4.82,0.2,3567,19,4.89,0.11,-0.38,0.09,-0.25,0.09,3573,16,-0.37,0.07,-0.25,0.07,"YD  ",2.0,
"J17198+417 ",259.96962,41.71381,3400,200,4.84,0.2,3540,20,4.96,0.12,-0.3,0.07,-0.2,0.07,3540,16,-0.28,0.06,-0.19,0.06,"D   ",2.0,
"J17303+055 ",262.59471,5.54853,3800,200,4.72,0.2,3821,9,4.93,0.1,-0.35,0.06,-0.23,0.06,3837,7,-0.39,0.03,-0.26,0.03,"YD  ",2.0,
"J17338+169 ",263.4715,16.92022,2900,200,4.86,0.2,3048,11,4.95,0.13,-0.05,0.06,-0.02,0.06,3017,10,-0.09,0.05,-0.05,0.05,"YD  ",41.5,7.7
"J17355+616 ",263.74829,61.87456,3700,200,4.68,0.2,3847,13,5.02,0.11,-0.06,0.06,-0.03,0.06,3856,11,-0.22,0.03,-0.15,0.03,"D   ",2.0,
"J17364+683 ",264.10792,68.33914,3300,200,4.84,0.2,3389,81,4.89,0.15,-0.1,0.13,-0.06,0.13,3385,79,-0.14,0.12,-0.08,0.12,"D   ",2.0,
"J17378+185 ",264.47229,18.59172,3700,200,4.82,0.2,3663,19,5.03,0.12,-0.58,0.07,-0.4,0.07,3710,15,-0.48,0.05,-0.33,0.05,"D   ",2.0,
"J17542+073 ",268.57133,7.37911,3200,200,4.92,0.2,3312,30,4.86,0.08,-0.19,0.09,-0.12,0.09,3289,31,-0.39,0.12,-0.26,0.12,"D   ",2.0,
"J17578+046 ",269.45208,4.69336,3200,200,5.12,0.2,3254,32,5.13,0.12,-0.84,0.1,-0.57,0.1,3240,27,-0.86,0.09,-0.59,0.09,"TD  ",2.0,
"J17578+465 ",269.46237,46.58864,3300,200,4.79,0.2,3507,23,4.93,0.09,-0.04,0.06,-0.02,0.06,3509,18,-0.11,0.05,-0.06,0.05,"YD  ",2.0,
"J18022+642 ",270.56917,64.26228,3000,200,5.09,0.2,3213,43,5.15,0.12,-0.67,0.15,-0.46,0.15,3198,37,-0.69,0.12,-0.47,0.12,"D   ",11.3,1.5
"J18027+375 ",270.69275,37.5175,3000,200,5.15,0.2,3210,39,5.02,0.18,-0.08,0.17,-0.04,0.17,3186,27,-0.22,0.21,-0.15,0.21,"D   ",2.0,
"J18051-030 ",271.28158,-3.03133,3700,200,4.8,0.2,3706,13,5.14,0.1,-0.3,0.06,-0.2,0.07,3709,15,-0.41,0.04,-0.28,0.04,"D   ",2.0,
