Karmn,_RA,_DE,Teff,e_Teff,[Fe/H],e_[Fe/H]
"J08298+267 ",127.45562,26.776,2809,60,-0.36,0.12
"J08315+730 ",127.8755,73.06272,3182,61,,
"J08358+680 ",128.95433,68.06919,3400,65,,
"J08402+314 ",130.06658,31.45189,3438,79,,
"J08409-234 ",130.24671,-23.45628,3400,78,0.27,0.12
"J08526+283 ",133.17025,28.31633,3166,61,0.31,0.12
"J09005+465 ",135.13533,46.58642,3118,67,0.2,0.11
"J09028+680 ",135.72029,68.06294,3153,94,,
"J09133+688 ",138.34937,68.87519,3570,72,,
"J09140+196 ",138.51325,19.66828,3581,77,0.16,0.12
"J09143+526 ",138.59492,52.68661,3991,66,-0.26,0.11
"J09144+526 ",138.60283,52.68636,3770,87,,
"J09161+018 ",139.04242,1.88578,3339,65,-0.06,0.11
"J09163-186 ",139.086,-18.62581,3625,64,-0.08,0.12
"J09307+003 ",142.68579,0.32267,3260,69,,
"J09360-216 ",144.00683,-21.66081,3480,70,-0.03,0.12
"J09411+132 ",145.29317,13.20956,3633,90,,
"J09423+559 ",145.59662,55.98369,3440,87,,
"J09425+700 ",145.64517,70.03389,3502,68,,
"J09428+700 ",145.71554,70.03942,3528,60,,
"J09439+269 ",145.98171,26.969,3516,84,0.16,0.11
"J09447-182 ",146.19729,-18.21361,3209,60,-0.03,0.11
"J09449-123 ",146.22579,-12.34844,3025,62,,
"J09468+760 ",146.70204,76.04392,3800,87,,
"J09511-123 ",147.79017,-12.32986,3915,110,-0.35,0.12
"J09561+627 ",149.03612,62.78847,3887,71,,
"J10023+480 ",150.59062,48.08881,3879,67,,
"J10088+692 ",152.21587,69.27656,4060,66,,
"J10122-037 ",153.07362,-3.74567,3651,65,0.03,0.11
"J10125+570 ",153.14492,57.06361,3327,65,0.14,0.11
"J10167-119 ",154.19146,-11.96178,3518,64,0.17,0.11
"J10196+198 ",154.90117,19.87,3471,63,,
"J10251-102 ",156.29517,-10.22869,3708,63,-0.06,0.11
"J10289+008 ",157.23146,0.841,3640,78,,
"J10360+051 ",159.00508,5.12022,3367,77,-0.02,0.11
"J10396-069 ",159.919,-6.92375,3538,67,0.15,0.12
"J10416+376 ",160.40783,37.61089,3158,60,-0.02,0.11
"J10482-113 ",162.05254,-11.336,2739,60,,
"J10504+331 ",162.60837,33.10114,3369,69,0.4,0.11
"J10508+068 ",162.71679,6.80814,3238,81,0.13,0.11
"J10564+070 ",164.1205,7.01472,2865,60,,
"J11000+228 ",165.01775,22.83294,3519,67,,
"J11026+219 ",165.65975,21.96714,3909,107,,
"J11033+359 ",165.83412,35.96989,3593,66,,
"J11054+435 ",166.36908,43.52678,3702,65,-0.41,0.11
"J11055+435 ",166.37871,43.52164,2831,60,,
J11110+304W,167.76058,30.44481,3678,63,,
"J11201-104 ",170.02542,-10.49631,3634,66,0.06,0.12
"J11289+101 ",172.23442,10.17758,3239,97,0.08,0.12
"J11306-080 ",172.67429,-8.09528,3494,73,0.06,0.12
"J11417+427 ",175.436,42.75197,3204,69,0.12,0.12
"J11421+267 ",175.54621,26.70658,3479,61,0.07,0.11
"J11467-140 ",176.67879,-14.01439,3595,68,0.35,0.12
"J11476+002 ",176.91979,0.25558,3177,64,0.18,0.12
"J11476+786 ",176.92246,78.69117,3186,60,,
"J11477+008 ",176.935,0.80456,3145,78,,
"J11509+483 ",177.7405,48.37739,3131,64,,
"J11511+352 ",177.78058,35.272,3661,80,,
"J12054+695 ",181.37367,69.53961,3273,65,,
"J12100-150 ",182.52333,-15.07139,3270,75,0.45,0.11
"J12111-199 ",182.799,-19.96058,3473,82,-0.01,0.12
J12123+544S,183.08692,54.48575,3826,70,-0.2,0.11
"J12156+526 ",183.91404,52.65242,3380,67,,
"J12189+111 ",184.7475,11.12606,3020,61,,
"J12230+640 ",185.75067,64.03083,3560,69,,
