Karmn,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H]
"J05360-076 ",3365,51,5.01,0.07,0.01,0.16
"J05365+113 ",4075,51,4.65,0.07,0.04,0.16
"J05366+112 ",3333,51,5.07,0.07,-0.14,0.16
"J05415+534 ",3863,51,4.69,0.07,0.08,0.16
"J05421+124 ",3310,51,5.05,0.07,0.04,0.16
"J05532+242 ",3755,51,4.71,0.07,0.11,0.16
"J06011+595 ",3358,51,5.02,0.07,0.0,0.16
"J06103+821 ",3543,51,4.89,0.07,-0.05,0.16
"J06105-218 ",3822,51,4.71,0.07,0.06,0.16
"J06246+234 ",3238,51,5.11,0.07,-0.08,0.16
"J06277+093 ",3534,51,4.92,0.07,-0.12,0.16
"J06325+641 ",3469,51,4.94,0.07,-0.01,0.16
"J06371+175 ",3728,51,4.89,0.07,-0.42,0.16
"J06396-210 ",3322,51,5.06,0.07,-0.04,0.16
"J06421+035 ",3436,51,4.96,0.07,0.02,0.16
"J06548+332 ",3450,51,4.96,0.07,-0.02,0.16
"J07033+346 ",3276,51,5.1,0.07,-0.12,0.16
"J07044+682 ",3469,51,4.94,0.07,-0.01,0.16
"J07081-228 ",3664,51,4.79,0.07,-0.01,0.16
"J07274+052 ",3358,51,5.01,0.07,0.04,0.16
"J07287-032 ",3458,51,4.95,0.07,-0.02,0.16
J07319+362N,3319,51,5.06,0.07,-0.03,0.16
"J07349+147 ",3435,51,5.0,0.07,-0.09,0.16
"J07353+548 ",3526,51,4.93,0.07,-0.14,0.16
"J07361-031 ",3891,51,4.69,0.07,0.05,0.16
"J07386-212 ",3417,51,5.0,0.07,-0.09,0.16
"J07393+021 ",4005,51,4.66,0.07,0.07,0.16
"J07545+085 ",3483,51,4.96,0.07,-0.13,0.16
"J07582+413 ",3363,51,5.02,0.07,0.0,0.16
"J08126-215 ",3326,51,5.03,0.07,0.04,0.16
"J08161+013 ",3589,51,4.86,0.07,-0.06,0.16
"J08293+039 ",3575,51,4.88,0.07,-0.07,0.16
"J08313-060 ",3802,51,4.68,0.07,0.16,0.16
"J08344-011 ",3371,51,5.02,0.07,-0.03,0.16
"J08358+680 ",3471,51,4.95,0.07,-0.06,0.16
"J08371+151 ",3489,51,4.92,0.07,0.0,0.16
"J08402+314 ",3381,51,5.02,0.07,-0.04,0.16
"J08427+095 ",4024,51,4.64,0.07,0.14,0.16
"J08428+095 ",3505,51,4.91,0.07,-0.01,0.16
"J08526+283 ",3307,51,5.03,0.07,0.13,0.16
"J08551+015 ",4091,51,4.61,0.07,0.25,0.16
J09008+052E,3457,51,4.94,0.07,0.02,0.16
J09008+052W,3424,51,4.97,0.07,0.05,0.16
"J09023+084 ",3507,51,4.9,0.07,0.0,0.16
"J09028+680 ",3343,51,5.03,0.07,0.01,0.16
"J09133+688 ",3545,51,4.93,0.07,-0.16,0.16
"J09143+526 ",4053,51,4.65,0.07,0.07,0.16
"J09144+526 ",3994,51,4.68,0.07,-0.03,0.16
"J09163-186 ",3584,51,4.9,0.07,-0.14,0.16
"J09288-073 ",3496,51,4.91,0.07,0.0,0.16
"J09307+003 ",3413,51,4.99,0.07,-0.01,0.16
"J09360-216 ",3488,51,4.96,0.07,-0.14,0.16
"J09411+132 ",3601,51,4.88,0.07,-0.14,0.16
"J09423+559 ",3384,51,4.99,0.07,0.07,0.16
"J09425+700 ",3511,51,4.91,0.07,-0.03,0.16
"J09428+700 ",3423,51,4.99,0.07,-0.04,0.16
"J09468+760 ",3683,51,4.78,0.07,0.0,0.16
"J09511-123 ",3753,51,4.77,0.07,-0.09,0.16
"J09561+627 ",3974,51,4.67,0.07,0.07,0.16
"J10023+480 ",3768,51,4.73,0.07,0.03,0.16
"J10087+027 ",3486,51,4.9,0.07,0.06,0.16
"J10122-037 ",3613,51,4.87,0.07,-0.12,0.16
"J10125+570 ",3408,51,4.99,0.07,-0.01,0.16
"J10158+174 ",3392,51,5.01,0.07,-0.02,0.16
"J10167-119 ",3511,51,4.89,0.07,0.01,0.16
"J10243+119 ",3488,51,4.95,0.07,-0.1,0.16
"J10251-102 ",3761,51,4.73,0.07,0.05,0.16
"J10289+008 ",3575,51,4.89,0.07,-0.09,0.16
"J10350-094 ",3457,51,4.95,0.07,-0.03,0.16
"J10354+694 ",3418,51,4.98,0.07,-0.01,0.16
"J10396-069 ",3524,51,4.91,0.07,-0.06,0.16
"J10416+376 ",3263,51,5.07,0.07,0.05,0.16
"J10508+068 ",3335,51,5.03,0.07,0.03,0.16
"J10520+139 ",3372,51,5.02,0.07,-0.03,0.16
"J11000+228 ",3500,51,4.94,0.07,-0.1,0.16
"J11026+219 ",3896,51,4.69,0.07,0.04,0.16
"J11033+359 ",3598,51,4.87,0.07,-0.09,0.16
"J11054+435 ",3636,51,4.91,0.07,-0.29,0.16
"J11110+304 ",3753,51,4.7,0.07,0.14,0.16
"J11126+189 ",3752,51,4.73,0.07,0.06,0.16
"J11201-104 ",3540,51,4.97,0.07,-0.27,0.16
"J11289+101 ",3364,51,5.02,0.07,0.0,0.16
"J11306-080 ",3419,51,4.98,0.07,-0.01,0.16
"J11417+427 ",3358,51,4.99,0.07,0.13,0.16
"J11421+267 ",3512,51,4.9,0.07,-0.02,0.16
"J11467-140 ",3523,51,4.87,0.07,0.06,0.16
"J11476+786 ",3359,51,5.02,0.07,0.0,0.16
"J11477+008 ",3251,51,5.1,0.07,-0.04,0.16
"J11509+483 ",3211,51,5.11,0.07,0.0,0.16
"J11511+352 ",3633,51,4.88,0.07,-0.18,0.16
"J11532-073 ",3555,51,4.87,0.07,0.0,0.16
"J12016-122 ",3509,51,4.88,0.07,0.04,0.16
"J12054+695 ",3325,51,5.02,0.07,0.09,0.16
"J12100-150 ",3365,51,4.99,0.07,0.12,0.16
"J12111-199 ",3448,51,4.97,0.07,-0.06,0.16
J12123+544S,3923,51,4.7,0.07,-0.01,0.16
"J12230+640 ",3528,51,4.87,0.07,0.03,0.16
"J12248-182 ",3476,51,4.98,0.07,-0.18,0.16
"J12312+086 ",3913,51,4.71,0.07,-0.05,0.16
"J12350+098 ",3578,51,4.85,0.07,0.0,0.16
"J12388+116 ",3429,51,4.96,0.07,0.04,0.16
"J12428+418 ",3321,51,5.07,0.07,-0.1,0.16
